{
1,306,644,0
5,306,500,0
1,434,644,0
5,434,500,0
1,562,644,0
5,562,500,0
2,1190,568,1
1,1846,644,0
1,1846,516,0
5,1846,400,0
1,1974,644,0
1,1974,516,0
5,1974,400,0
1,2102,644,0
1,2102,516,0
5,2102,400,0
1,2230,644,0
1,2230,516,0
5,2102,400,0
1,2358,644,0
1,2358,516,0
1,2486,644,0
1,2486,516,0
1,2614,644,0
1,2614,516,0
1,2614,388,0
1,2742,644,0
1,2742,516,0
1,2742,388,0
5,2742,280,0
1,2870,644,0
1,2870,516,0
1,2870,388,0
5,2870,280,0
1,2988,644,0
1,2988,516,0
1,2988,388,0
5,2988,280,0
2,3982,568,4
5,3882,380,0
5,3982,380,0
5,4082,380,0
}
