{
7,500,676,0
8,700,676,0
3,900,632,0
5,1200,250,0
1,1300,644,0
5,1300,205,0
1,1428,644,0
5,1418,255,0
5,1536,305,0
1,1556,644,0
1,2500,644,0
1,2900,644,0
1,3600,644,0
5,3600,516,0
1,3728,644,0
5,3728,516,0
1,3856,644,0
5,3856,516,0
1,5000,644,0
5,5000,516,0
1,5128,644,0
5,5128,516,0
1,5256,644,0
5,5256,516,0
5,5490,614,0
5,5618,614,0
5,5746,614,0
1,6872,644,0
1,7000,644,0
1,7128,644,0
1,7256,644,0
1,7128,516,0
1,7256,516,0
2,7756,638,6
5,7490,460,0
5,7628,510,0
5,7756,510,0
5,7886,510,0
2,8656,638,0
1,9300,644,0
5,9300,516,0
1,9428,644,0
5,9428,516,0
1,9556,644,0
5,9556,516,0
3,10400,632,1
5,10800,230,0
5,10900,275,0
2,11000,568,1
2,13000,633,7
5,12872,505,0
5,13000,505,0
5,13128,505,0
3,14000,632,0
5,14400,230,0
5,14500,275,0
2,14600,568,1
1,15200,644,1
1,15200,516,1
1,15200,388,1
1,15328,644,1
1,15328,516,1
1,15328,388,1
1,15456,644,1
1,15456,516,1
1,15456,388,1
3,17100,632,0
2,17700,568,4
1,18872,644,0
1,19000,644,0
1,19128,644,0
1,19256,644,0
3,20400,632,1
2,21000,588,4
4,22000,676,0
1,23100,644,0
5,23100,510,0
1,23228,644,0
5,23228,510,0
1,23356,644,0
5,23356,510,0
1,23484,644,0
5,23484,510,0
1,23612,644,0
5,23612,510,0
3,24400,632,0
6,25300,513,0
6,25670,513,0
5,25300,320,0
5,25415,320,0
5,25530,320,0
5,25645,320,0
5,25760,320,0
5,25875,320,0
1,26340,644,0
1,26468,644,0
1,26596,644,0
2,27500,568,4
1,28100,644,0
1,28228,644,0
1,28356,644,0
5,28100,520,0
5,28228,520,0
5,28356,520,0
3,29000,632,1
6,29900,513,0
5,30440,80,0
5,30540,80,0
5,30640,120,0
5,30740,170,0
5,30840,220,0
5,30940,270,0
5,31040,320,0
2,31200,638,3
1,32000,644,0
1,32128,644,0
1,32256,644,0
1,32384,644,0
1,32512,644,0
1,32640,644,0
1,32768,644,0
1,32896,644,0
1,33024,644,0
6,33800,513,0
5,33700,320,0
5,33800,320,0
5,33900,320,0
2,34700,568,4
2,35400,568,4 
1,36350,644,0
1,36478,644,0
1,36350,516,0
1,36478,516,0
1,36800,644,0
1,36800,516,0
1,36800,388,0
5,36800,190,0
5,36910,240,0
5,37020,290,0
5,37130,340,0
1,39000,644,0
1,38744,644,0
1,38872,644,0
1,39000,644,0
1,39128,644,0
1,39256,644,0
1,39384,644,0
1,39512,644,0
1,39640,644,0
1,39768,644,0
1,39896,644,0
5,39100,480,0
5,39250,480,0
5,39400,480,0
5,39550,480,0
2,40600,568,4
6,41700,513,0
6,43070,513,0
5,41600,320,0
5,41700,320,0
5,41800,320,0
5,42970,320,0
5,43070,320,0
5,43170,320,0
5,43270,320,0
2,44000,638,5
2,44400,638,6
5,43900,530,0
5,44000,530,0
5,44100,530,0
5,44300,530,0
5,44400,530,0
5,44500,530,0
2,45200,568,4
1,50000,644,0
1,51000,644,0
1,52000,644,0
1,53000,644,0
1,54000,644,0
1,55000,644,0
1,56000,644,0
1,57000,644,0
1,58000,644,0
1,59000,644,0
1,60000,644,0
1,61000,644,0
1,62000,644,0
1,63000,644,0
1,64000,644,0
1,65000,644,0
1,66000,644,0
1,67000,644,0
1,68000,644,0
1,69000,644,0
1,70000,644,0
1,71000,644,0
1,72000,644,0
1,73000,644,0
1,74000,644,0
1,75000,644,0
1,76000,644,0
1,77000,644,0
1,78000,644,0
1,79000,644,0
1,80000,644,0
1,81000,644,0
1,82000,644,0
1,83000,644,0
1,84000,644,0
1,85000,644,0
1,100000,644,0
1,110000,644,0
1,120000,644,0
1,130000,644,0
1,140000,644,0
1,150000,644,0
1,160000,644,0
1,200000,644,0
1,300000,644,0
1,400000,644,0
}
